Field_Number,Day,Month,Year,Waterbody,Strahler,OSAP_level,Reach_Length_m,P_Length,HH_mean,Depth_mean,Depth_max,Width_mean,Pool_area,Pool_vol,Wtemp,Woody_Debris,UnderCut.Prop,Rock.Bass,Central.Stoneroller,White.Sucker,Northern.Redbelly.Dace,Redside.Dace,Mottled.Sculpin,Brassy.Minnow,Common.Shiner,Stonecat,Coho.Salmon,Rainbow.Trout.J,Rainbow.Trout.A,Oncorhynchus.sp,Bluntnose.Minnow,Eastern.Blacknose.Dace,Longnose.Dace,Creek.Chub,Nesters,Co.occurring
2019-RSDPA-080719-001A,8,7,2019,Gully Creek,4,REACH,44.42,13.65,2.066666667,0.276416667,0.858,4.013333333,54.782,15.14265783,18.768,0.133,0.333333333,1,0,50,0,0,0,0,0,0,0,0,0,0,0,60,0,145,145,256
2019-RSDPA-080719-002A,8,7,2019,Gully Creek,4,POOL,NA,12.3,0.133333333,0.399333333,0.91,5.554,68.3142,27.2801372,19.225,0.2,0.1,1,1,28,0,0,0,9,0,1,0,1,2,5,0,7,3,53,53,111
2019-RSDPA-090719-001A,9,7,2019,Gully Creek,4,POOL,NA,12.13,0.433333333,0.451333333,1.05,5.162,62.61506,28.26026375,14.88,0.2,0.1,0,0,18,0,13,9,0,0,0,0,1,0,8,0,16,0,41,41,93
2019-RSDPA-090719-002A,9,7,2019,Gully Creek,4,REACH,22.4,7.7,1.68627451,0.238039216,0.77,6.642,51.1434,12.17413482,15.478,0.118,0.2,0,0,15,0,2,5,0,0,0,0,1,0,3,0,174,0,57,57,255
2019-RSDPA-090719-003A,9,7,2019,Gully Creek,4,POOL,NA,33.4,0.266666667,0.423333333,0.73,5.764,192.5176,81.49911733,16.72,0.133,0.1,0,0,65,0,58,35,0,0,0,0,2,0,9,0,125,0,190,190,426
2019-RSDPA-100719-001A,10,7,2019,Gully Creek,4,REACH,41.54,16.75,2.508474576,0.198305085,0.86,4.268333333,71.49458333,14.17773941,15.832,0.136,0.083333333,0,0,18,0,8,3,0,0,0,0,1,0,9,0,32,0,104,104,167
2019-RSDPA-100719-002A,10,7,2019,Gully Creek,4,POOL,NA,12.5,1.285714286,0.295,0.67,7.1,88.75,26.18125,16.613,0.143,0.2,0,0,16,0,9,6,0,0,0,0,1,0,15,0,56,0,63,63,157
2019-RSDPA-120619-001A,12,6,2019,Gully Creek,4,POOL,NA,18.49,0.766666667,0.254866667,0.48,4.714,87.16186,22.21465272,12.89,0,0.1,0,0,0,0,0,2,0,0,0,1,0,0,13,0,35,0,21,21,72
2019-RSDPA-120619-002A,12,6,2019,Gully Creek,4,POOL,NA,11.12,2.1,0.363666667,0.82,4.882,54.28784,19.74267781,14.733,0.167,0.1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,14,1,10,10,33
2019-RSDPA-250619-001A,25,6,2019,Gully Creek,4,POOL,NA,24.35,0.933333333,0.264666667,0.59,3.964,96.5234,25.54652653,15.543,0.033,0,0,0,16,0,2,5,0,0,0,1,0,0,11,0,64,0,88,88,185
2019-RSDPA-250619-002A,25,6,2019,Gully Creek,4,POOL,NA,12.73,0.433333333,0.212666667,0.5,6.596,83.96708,17.85699901,15.746,0.2,0.1,0,0,1,0,4,2,0,0,0,0,1,0,2,0,74,1,66,66,147
2019-RSDPA-250619-003A,25,6,2019,Gully Creek,4,POOL,NA,26.72,1.633333333,0.280333333,0.73,4.426,118.26272,33.15298251,16.407,0.1,0.1,0,0,12,0,1,3,0,0,0,0,1,0,2,0,21,0,72,72,111
2019-RSDPA-260619-001A,26,6,2019,Gully Creek,4,REACH,25.8,10.3,1.893939394,0.250151515,0.9,3.704545455,38.15681818,9.544985882,15.655,0.03,0.045454545,0,0,30,0,0,7,0,0,0,1,0,6,5,0,52,0,30,30,131
2019-RSDPA-260619-002A,26,6,2019,Gully Creek,4,POOL,NA,11.02,2.133333333,0.272,0.65,6.22,68.5444,18.6440768,16.72,0.2,0.2,0,0,6,0,18,2,0,0,0,0,1,0,12,0,44,0,51,51,116
2019-RSDPA-260619-003A,26,6,2019,Gully Creek,4,POOL,NA,18.2,0.566666667,0.301,0.75,3.831666667,69.73633333,20.99063633,18.24,0.1,0.25,0,0,3,0,5,6,0,0,0,0,1,0,2,1,11,0,23,23,47
2019-RSDPA-260619-004A,26,6,2019,Gully Creek,4,POOL,NA,9.18,0.366666667,0.313666667,0.51,3.44,31.5792,9.9053424,18.665,0.133,0.25,0,0,7,0,22,8,0,0,0,1,0,0,0,1,60,0,57,57,134
2020-RSDPA-010920-001A,1,9,2020,Unknown Stan J,4,REACH,18.8,12.1,0.157894737,0.222157895,0.575,4.045,48.9445,10.87340708,17.314,0.123,0,0,0,4,0,41,0,0,51,0,0,0,0,0,2,39,0,158,209,254
2020-RSDPA-010920-002A,1,9,2020,Unknown Stan J,4,POOL,23.4,12.3,0.066666667,0.175577778,0.37,1.7714,21.78822,3.825527249,20.83,0.067,0.433333333,0,1,5,14,162,0,0,69,0,0,0,0,0,9,142,0,198,267,438
2020-RSDPA-020920-001A,2,9,2020,Unknown Stan J,4,POOL,14.5,8.36,0,0.298724138,0.437,2.905,24.2858,7.254754669,19.823,0,0.5,0,0,12,45,33,0,0,36,0,0,0,0,0,45,36,0,48,84,222
2020-RSDPA-020920-002A,2,9,2020,Unknown Stan J,4,REACH,18.75,13.5,0,0.2788,0.48,3.461666667,46.7325,13.029021,20.1,0.033,0.166666667,0,0,7,8,11,0,0,40,0,0,0,0,0,6,42,0,125,165,228
2020-RSDPA-030920-001A,3,9,2020,Unknown Stan J,4,POOL,25.3,16.93,0.444444444,0.194666667,0.465,2.653333333,44.92093333,8.744608356,17.515,0.067,0,0,0,13,0,46,0,0,9,0,0,0,0,0,2,66,0,68,77,158
2020-RSDPA-030920-002A,3,9,2020,Unknown Stan J,4,REACH,27.1,15.42,0.095238095,0.149047619,0.292,2.107142857,32.49214286,4.842876531,17.84,0.048,0.785714286,0,1,2,0,31,0,0,22,0,0,0,0,0,4,31,0,85,107,145
2020-RSDPA-030920-003A,3,9,2020,Unknown Stan J,4,POOL,25.25,21.15,0,0.413366667,0.87,2.261666667,47.83425,19.77308448,18.539,0,0.555555556,0,7,23,22,120,0,0,86,0,0,0,0,0,18,22,0,145,231,323
2020-RSDPA-090920-001A,9,9,2020,Unknown Stan J,3,POOL,12.82,5.27,0.192982456,0.178070175,0.37,2.107916667,11.10872083,1.978131868,14.14,0,0.375,0,0,0,0,16,0,0,0,0,0,0,0,0,2,77,0,51,51,130
2020-RSDPA-090920-002A,9,9,2020,Unknown Stan J,4,POOL,13.15,7.95,0,0.375166667,0.694,3.185,25.32075,9.499501375,15.5,0.1,0.083333333,0,0,16,144,60,0,0,86,0,0,0,0,0,0,46,0,100,186,392
2020-RSDPA-180820-001A,18,8,2020,Gully Creek,3,REACH,30.6,20.8,0.551724138,0.126086207,0.422,2.424166667,50.42266667,6.357602782,16.319,0.19,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
2020-RSDPA-180820-002A,18,8,2020,Gully Creek,3,REACH,20.2,12.1,0,0.1588,0.305,2.355833333,28.50558333,4.526686633,17.18,0.267,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,12
2020-RSDPA-190820-001A,19,8,2020,Gully Creek,3,POOL,14.8,9.9,0.116666667,0.313133333,1.2,4.752083333,47.045625,14.73155338,14.92,0.117,0.291666667,0,0,2,0,37,0,0,0,0,0,4,0,0,0,8,0,19,19,33
2020-RSDPA-190820-002A,19,8,2020,Gully Creek,3,POOL,10.75,4.6,0.233333333,0.179866667,0.424,4.096,18.8416,3.388975787,15.852,0.2,0.1,0,0,1,0,0,1,0,0,0,0,8,0,0,0,19,0,26,26,55
2020-RSDPA-200820-001A,20,8,2020,Gully Creek,3,REACH,22.05,13.1,0.017241379,0.168310345,0.365,2.604166667,34.11458333,5.741837284,13.987,0.172,0.166666667,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22,0,19,19,42
2020-RSDPA-200820-002A,20,8,2020,Gully Creek,3,POOL,10.06,3.5,0,0.179266667,0.35,1.965,6.8775,1.2329065,14.754,0.167,0.333333333,0,0,0,0,1,1,0,0,0,0,1,1,0,0,23,0,13,13,39
2020-RSDPA-200820-003A,20,8,2020,Gully Creek,2,POOL,23,14.78,0.684210526,0.284894737,0.525,1.678,24.80084,7.065628785,14.856,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,18,0,0,0,22
2020-RSDPA-240820-001A,24,8,2020,Gully Creek,2,REACH,14.32,10.44,0.311111111,0.154444444,0.425,1.832,19.12608,2.9539168,18.13,0.022,0.133333333,0,0,1,0,2,13,0,0,0,0,0,0,0,0,70,0,53,53,137
2020-RSDPA-250820-001A,25,8,2020,Gully Creek,2,POOL,24.25,15.72,0.225,0.137275,0.265,1.5465,24.31098,3.33728978,17.465,0.075,0.025,0,0,0,0,0,7,0,0,0,0,0,0,0,0,44,0,1,1,52
2020-RSDPA-250820-002A,25,8,2020,Gully Creek,3,REACH,12.4,6.9,0.396551724,0.178568966,0.435,3.469166667,23.93725,4.27444997,19.864,0.034,0.083333333,0,0,3,0,23,1,0,0,0,0,4,0,0,0,13,0,58,58,79
2020-RSDPA-250820-003A,25,8,2020,Gully Creek,3,POOL,13.1,8.6,0,0.188366667,0.374,3.872,33.2992,6.272459307,20.666,0.067,0.111111111,0,0,0,0,9,3,0,0,0,0,0,0,0,0,37,0,94,94,134
2020-RSDPA-260820-001A,26,8,2020,Gully Creek,2,REACH,24,13.4,0,0.187733333,0.355,3.23,43.282,8.125474133,16.93,0.4,0.166666667,0,0,0,0,7,7,0,0,0,0,0,0,0,0,30,0,44,44,81
2020-RSDPA-260820-002A,26,8,2020,Gully Creek,2,POOL,14.7,8.5,0,0.133567568,0.28,2.4845,21.11825,2.820713284,17.217,0.027,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,32,0,59,59,94
2020-RSDPA-260820-003A,26,8,2020,Gully Creek,2,REACH,10.3,5.9,0,0.151966667,0.39,2.688333333,15.86116667,2.410368628,17.38,0.3,0.083333333,0,0,0,0,1,7,0,0,0,0,2,0,0,0,32,0,54,54,95
2020-RSDPA-270820-001A,27,8,2020,Gully Creek,2,POOL,7.3,4.2,0,0.175633333,0.55,2.916666667,12.25,2.151508333,18.222,0.1,0.166666667,0,0,1,0,8,6,0,0,0,0,0,0,0,0,71,0,98,98,176
2020-RSDPA-270820-002A,27,8,2020,Gully Creek,2,POOL,8.15,5,0,0.499733333,1.31,4.718333333,23.59166667,11.78954222,18.03,0.4,0.333333333,0,0,4,0,64,8,0,0,0,0,2,0,0,0,44,0,44,44,102
2020-RSDPA-310820-001A,31,8,2020,Gully Creek,2,REACH,14.1,8.7,0.24137931,0.179344828,0.67,2.86,24.882,4.462458,16.075,0.207,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,58,0,36,36,103
2020-RSDPA-310820-002A,31,8,2020,Gully Creek,2,REACH,11.8,7.51,0,0.6319,1.31,4.75,35.6725,22.54145275,15.637,0.067,0.083333333,0,0,3,0,0,1,0,0,0,0,1,0,0,0,19,0,4,4,28
